"player_names","player_ids"
"Rico Henry",229562
"Jakub Moder",399378
"Max Aarons",362103
"Junior Firpo",351252
"Craig Cathcart",25241
"Billy Gilmour",381255
"Kiko Femenía",75919
"Ezri Konsa",301440
"Tim Krul",22319
"Adam Armstrong",136460
"Saman Ghoddos",320575
"Boubakary Soumaré",345664
"Leon Bailey",327682
"Nuno Tavares",379790
"Jóhann Gudmundsson",41868
"Ashley Young",8166
"Isaac Hayden",136356
"Mateusz Klich",69638
"Mason Holgate",297544
"Jacob Murphy",141486
"Diego Llorente",123232
"Matt Ritchie",68648
"Teemu Pukki",25028
"Mathias Jensen",339674
"Sean Longstaff",342811
"Ibrahima Diallo",357101
"Romain Perraud",331466
"Yoane Wissa",296240
"Danny Welbeck",39308
"Kenny McLean",82917
"Jay Rodriguez",33891
"Frank Onyeka",404109
"Pascal Struijk",355609
"Tom Cleverley",69956
"Adam Idah",382368
"Aaron Lennon",5625
"Miguel Almirón",303924
"Shandon Baptiste",362124
"Joshua Sargent",367480
"Ben Foster",11530
"Tyler Roberts",280771
"Salomón Rondón",25964
"Adam Forshaw",82972
"Ben Gibson",86458
"Steven Bergwijn",279425
"William Troost-Ekong",133400
"Timo Werner",130903
"Mads Roerslev",329554
"Matej Vydra",84129
"Nikola Vlasic",343975
"Ken Sema",145392
"Ashley Barnes",33386
"Fábio Silva",380655
"Kylian Mbappé",300713
"Lionel Messi",11119
"Dimitri Payet",14058
"Téji Savanier",234377
"Benjamin Bourigeaud",129282
"Martin Terrier",329356
"Neymar",50835
"Gaëtan Laborde",140051
"Aurélien Tchouaméni",353423
"Sofiane Boufal",234363
"Marco Verratti",91961
"Lucas Paquetá",319756
"Jonathan Clauss",301869
"Bruno Guimarães",338780
"Romain Faivre",349368
"Andrei Girotto",279380
"Ludovic Ajorque",234364
"Franck Honorat",137837
"Amine Gouiri",348654
"Frédéric Guilbert",260493
"Benjamin André",43415
"Jonas Omlin",366704
"Adrien Thomasson",113747
"Lovro Majer",369887
"Youcef Atal",361816
"Hamari Traoré",289018
"Karl Toko-Ekambi",236504
"Sofiane Diop",361284
"Kamaldeen Sulemana",422135
"Moses Simon",202185
"Jimmy Cabot",123913
"Danilo Pereira",94891
"Boubakar Kouyaté",375326
"Walter Benítez",130304
"Randal Kolo Muani",333542
"Nayef Aguerd",362434
"Fabien Centonze",294496
"Renato Sanches",299450
"Wissam Ben Yedder",89946
"Florian Sotoca",274934
"Achraf Hakimi",320834
"Mario Lemina",123481
"Emerson",101955
"Florian Tardieu",296321
"Azor Matusiwa",355960
"Stephy Mavididi",318750
"Melvin Bard",389064
"Idrissa Gueye",80464
"Flavien Tait",296241
"Ibrahima Sissoko",306766
"Ludovic Blas",299562
"Jean Onana",392388
"Ángel Di María",23110
"Andy Delort",79976
"Marquinhos",101949
"Houssem Aouar",322096
"William Saliba",361822
"Seko Fofana",254562
"Sven Botman",379732
"Julien Laporte",294502
"Mattéo Guendouzi",328983
"Ander Herrera",71174
"Brendan Chardonnet",130298
"Moussa Dembele",140090
"Steve Mounié",135259
"Valentin Rongier",231144
"Ghislain Konan",331567
"Ronaël Pierre-Gabriel",300608
"Cheick Oumar Doucouré",374993
"Tiago Djaló",367181
"Jean-Clair Todibo",361710
"Boubacar Kamara",331790
"Keylor Navas",65901
"Gelson Martins",296576
"Justin Kluivert",331579
"Cengiz Ünder",255071
"Alban Lafont",300590
"Angelo Fulgini",296316
"Jonathan David",383855
"Thomas Monconduit",100869
"Guillermo Maripán",121417
"Presnel Kimpembe",247800
"Alexander Djiku",121711
"Marshall Munetsi",377411
"Wout Faes",299693
"Reinildo",361812
"Romain Thomas",232577
"Laurent Abergel",122346
"Mohamed Bayo",422190
"Habib Diallo",296372
"Jonathan Gradit",236552
