"player_names","player_ids"
"Edgar Badia",109930
"Jesús Navas",9446
"Stole Dimitrievski",141499
"Luís Maximiano",361969
"Marcos Llorente",254582
"Fidel",86809
"Rodrigo de Paul",125547
"Nemanja Maksimovic",296367
"Leandro Cabrera",73265
"José Gayà",119817
"Álex Remiro",270504
"Álvaro García",135345
"Alexander Isak",299254
"Samuel Chukwueze",363665
"Iñaki Williams",255182
"Thomas Delaney",73744
"Yangel Herrera",318505
"Edgar González",387160
"Jeremías Ledesma",136130
"Helibelton Palacios",106466
"Raúl Albiol",12575
"Oihan Sancet",381510
"Papu Gómez",22546
"Alfonso Pedraza",276489
"Luis Suárez",402887
"Carlos Akapo",139639
"David Silva",14102
"Jorge de Frutos",386230
"Denis Suárez",106525
"Sergio Herrera",381674
"Yeremi Pino",403865
"Fernando",31958
"Federico Valverde",344644
"Matías Dituro",422916
"Boulaye Dia",365122
"Adrià Pedrosa",363966
"Fran García",422957
"Mamadou Loum",336284
"Iñigo Ruiz de Galarreta",106586
"Víctor Ruiz",79558
"Koke",80764
"Rubén Duarte",261286
"Adrián Embarba",135572
"Anthony Lozano",90003
"Iddrisu Baba",381644
"Franco Cervi",303910
"José Luis Morales",135321
"Joan Jordán",238941
"Johan Mojica",135098
"Martín Zubimendi",372424
"Luuk de Jong",68585
"Alberto Moreno",113275
"Íñigo Lekue",291686
"Álvaro Negredo",23757
"Francis Coquelin",69738
"Adnan Januzaj",130334
"Rafa Mir",300369
"Fran Beltrán",362421
"Nacho",106875
"Jorge Molina",31151
"Eduardo Camavinga",369109
"Jon Moncayola",381673
"Willian José",77636
"David Soria",243262
"Hugo Mallo",79929
"Javier Puado",362423
"Unai Simón",332823
"Andoni Gorosabel",345908
"Óscar Valentín",422958
"Rubén Rochina",91273
"Jens Jønsson",283284
"Jasper Cillessen",90811
"Maxime Gonalons",79560
"Luis Rioja",381713
"Eric García",368091
"Takefusa Kubo",377285
"Ante Budimir",98126
"Pere Milla",140772
"Daniel Wass",27254
"Iza",400046
"Isi Palazón",422959
"Darwin Machís",107567
"Kike García",79840
"Héctor Herrera",103476
"Luis Suárez",22221
"Djené Dakonam",332990
"Kieran Trippier",83078
"Lucas Vázquez",144511
"Manu Sánchez",374813
"Eden Hazard",33404
"Maximiliano Gómez",344119
"Tete Morente",402087
"Nico González",422939
"Antonio Puertas",127802
"Unai García",131037
"Iván Balliu",101613
"Óscar Duarte",89851
"Mikel Balenziaga",44739
"Óscar Mingueza",397469
"Sergi Gómez",90778
"Joseph Aidoo",320713
"Óscar Gil",416960
"Pervis Estupiñán",298694
"Víctor Laguardia",79708
"Rui Silva",141833
"Germán Sánchez",381670
"Tomás Alarcón",417743
"Felipe",102173
"Nemanja Gudelj",77417
"Mario Hermoso",344156
"Esteban Saveljich",125609
"Hugo Duro",354526
"Omar Mascarell",115996
"Enis Bardhi",275687
"Unai Vencedor",392383
"Martín Aguirregabiria",333111
"Pepelu",302889
"Jaume Costa",69965
"Borja Iglesias",259042
"Álex Fernández",95551
"Jeison Murillo",109565
"Rodri",395188
"Raúl García",11386
"Aihen Muñoz",367583
"Youssef En-Nesyri",323547
"Roger Martí",109811
"Rúben Vezo",130356
"Juan Cruz",96566
"Karim Rekik",106530
"Florian Lejeune",80758
"Gonzalo Melero",261698
"Carles Aleñá",303268
"Manu Morlanes",349660
"Victor Chust",402862
"Jorge Miramón",140767
"Stefan Mitrovic",84041
"Varazdat Haroyan",108150
"Néstor Araújo",88191
"Matheus Cunha",362758
"Carlos Neva",381672
"Dimitri Foulquier",101084
"Radamel Falcao",18701
"Fernando Pacheco",95915
"Salva Sevilla",33222
"Renato Tapia",136987
"Renan Lodi",326646
"Dani García",127392
"Chimy Avila",303707
"Raúl Torrente",405310
"Franco Russo",422771
"Alberto Perea",93543
"Martin Valjent",142387
"Florentino",369712
"Lee Kang-In",367780
"Vicente Iborra",34052
"Pathé Ciss",422963
"Fali",400051
"Antonio Sánchez",425092
"Óliver Torres",113708
"Hugo Guillamón",392686
"Carlos Clerc",106595
"Joseba Zaldua",135911
"Marc-André ter Stegen",80774
"Yunus Musah",400357
"Quini",115995
"Son",400359
"Ludwig Augustinsson",282994
"Keidi Bare",332866
"Enzo Roco",141877
"Bebé",89883
"Darko Brasanac",84880
"Ángel Rodríguez",22325
"Cristian Tello",91800
"Manu García",295950
"Randy Nteka",422960
"Toni Moya",333359
"Ander Guevara",344120
"Cote",70216
"Brian Oliván",422770
"Diego González",316957
"Lucas Pérez",135663
"Guido Carrillo",125379
"Sergi Guardiola",323135
"Gonzalo Verdú",101130
"Manolo Reina",36262
"Gerard Gumbau",294123
"Rubén Sobrino",323250
"Hélder Costa",118127
"Fernando Niño",391082
"Aleix Vidal",82630
"Sandro Ramírez",135242
"Andrés Guardado",21019
"Alexander Sørloth",302497
"Roberto Torres",109349
"Rodrygo",347862
"Javi Martínez",391040
"Rober Pier",301467
"Moi Gómez",101238
"Nico Williams",408449
"Daniel Cárdenas",386261
"Mickaël Malsa",137436
"Uros Racic",346183
"Marcos André",402185
"Munir El-Haddadi",143158
"Sergio Escudero",89856
"Unai López",236575
"Mouctar Diakhaby",322095
"Thiago Galhardo",101729
"Mikel Vesga",261516
"Salvi Sánchez",400048
"Josan",273453
"Víctor Díaz",34525
"Jan Oblak",76662
"Ángel Montoro",32857
"Portu",106895
"Oier Zarraga",399989
"Juan Iglesias",408735
"Raúl Guti",402086
"Igor Zubeldia",315566
"Iván Marcone",125246
"Tomás Pina",83504
"Amath Ndiaye",315298
"Nolito",91267
"Edgar Méndez",141068
"Dani Gómez",400358
"Darío Poveda",331699
"Aitor Ruibal",349494
"Carlos Bacca",71687
"Facundo Pellistri",404086
"Enric Franquesa",422768
"Rodrigo Battaglia",134739
"Nicolás Melamed",395541
"Loren Morón",351684
"Pere Pons",140929
"Abdón Prats",9270
"Miguel De la Fuente",362358
"Augusto Solari",121737
"Jaime Mata",140771
"Landry Dimata",344071
"Oier Sanjurjo",25932
"Alejandro Cantero",414421
"Wu Lei",127220
